受注No,製品名,品目,厚み,幅,仕上がり幅,ピッチ,入り数,ケースNo,クラフト,外装,ショット数,メインVR,606,612,613,温度,備考,,,,
TWG０１,ポリティッシュ２００E外装,LD,0.023,250,,270,1000,,クラフト２,２７０×３５０,63,490,25,900,350,230,,,,,
VFPL9,魚貞極上簀巻(シート),PP,0.025,150,,180,14000,45,クラフト３ １/４,１７０×２５０,84,640,27,1000,260,0,カットからマークまで１５ｍｍ,,,,
VE3U5,サイボク印刷袋,LD,0.02,185,,270,6000,57,,２００×３５０,64,490,25,900,350,215,,,,,
TVY２１,シルバーイージーバッグXL,LD,0.022,420,,550,2000,52,,４４０×６５０,33,250,25,1000,600,190,,,,,
VDJQ４,プレーンナン用平袋No15,LD,0.03,300,,450,1800,68,,３２０×５５０,66,500,25,1400,400,241,,,,,
VBSK6,LLDガゼットドラキュラ外装,LD,0.02,340,,600,2000,25,,220,33,255,20,1000,450,211,,,,,
,,LD,,,,,,,,,,,,,,,,,,,
,,LD,,,,,,,,,,,,,,,,,,,
,,LD,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ショット,メイン,,,,温度,,,,,
